Anime - Non-English-translated,Shadows House - 13 VOSTFR.ass,Anonymous,22.2 KiB,2021-07-05 09:01,1,magnet:?xt=urn:btih:be01b2742b96f771b1e6436bcf753e2ea7a04454&dn=Shadows%20House%20-%2013%20VOSTFR.ass&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
Anime - Raw,[Moozzi2] Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu You na Monogatari (BD 1920x1080 x265-10Bit FLACx2) - TV + SP,Moozzi2,10.1 GiB,2021-07-05 08:47,0,magnet:?xt=urn:btih:7e733b7661258b65ac48c0490b291a3209bd24e6&dn=%5BMoozzi2%5D%20Tatoeba%20Last%20Dungeon%20Mae%20no%20Mura%20no%20Shounen%20ga%20Joban%20no%20Machi%20de%20Kurasu%20You%20na%20Monogatari%20%28BD%201920x1080%20x265-10Bit%20FLACx2%29%20-%20TV%20%2B%20SP&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
Anime - Raw,[Moozzi2] Non Non Biyori Nonstop (BD 1920x1080 x265-10Bit FLACx2) - TV + SP,Moozzi2,10.8 GiB,2021-07-05 08:46,0,magnet:?xt=urn:btih:91badb1da3c2a8e3b23c7d5f5ea7aaadd77946f6&dn=%5BMoozzi2%5D%20Non%20Non%20Biyori%20Nonstop%20%28BD%201920x1080%20x265-10Bit%20FLACx2%29%20-%20TV%20%2B%20SP&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
Literature - Raw,異世界転生して魔女になったのでスローライフを送りたいのに魔王が逃がしてくれません 第01巻 [Isekai Tensei Shite Majo ni Natta Node Suro Raifu o Okuritai Noni Mao ga Nigashite Kuremasen vol 01],rawback,33.3 MiB,2021-07-05 07:53,231,magnet:?xt=urn:btih:c77110a3849326769525eb994f9f9f8cc5b1124f&dn=%E7%95%B0%E4%B8%96%E7%95%8C%E8%BB%A2%E7%94%9F%E3%81%97%E3%81%A6%E9%AD%94%E5%A5%B3%E3%81%AB%E3%81%AA%E3%81%A3%E3%81%9F%E3%81%AE%E3%81%A7%E3%82%B9%E3%83%AD%E3%83%BC%E3%83%A9%E3%82%A4%E3%83%95%E3%82%92%E9%80%81%E3%82%8A%E3%81%9F%E3%81%84%E3%81%AE%E3%81%AB%E9%AD%94%E7%8E%8B%E3%81%8C%E9%80%83%E3%81%8C%E3%81%97%E3%81%A6%E3%81%8F%E3%82%8C%E3%81%BE%E3%81%9B%E3%82%93%20%E7%AC%AC01%E5%B7%BB%20%5BIsekai%20Tensei%20Shite%20Majo%20ni%20Natta%20Node%20Suro%20Raifu%20o%20Okuritai%20Noni%20Mao%20ga%20Nigashite%20Kuremasen%20vol%2001%5D&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
Audio - Lossy,Kekkai Sensen OST [MP3 320k],vitormathews,335.6 MiB,2021-07-05 07:46,6,magnet:?xt=urn:btih:a99ae2496af259e17f65ae110722efb1d73fff94&dn=Kekkai%20Sensen%20OST%20%5BMP3%20320k%5D&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
Anime - Non-English-translated,[丸子家族][櫻桃小丸子第二期(Chibi Maruko-chan II)][1295]小丸子學習漢字&宏志星期天木匠[2021.07.04][BIG5][720P][MP4],shiroshiro,139.9 MiB,2021-07-05 07:39,6,magnet:?xt=urn:btih:ba4a0f6751f0c85fd29ea14ae2378c13dfd6b454&dn=%5B%E4%B8%B8%E5%AD%90%E5%AE%B6%E6%97%8F%5D%5B%E6%AB%BB%E6%A1%83%E5%B0%8F%E4%B8%B8%E5%AD%90%E7%AC%AC%E4%BA%8C%E6%9C%9F%28Chibi%20Maruko-chan%20II%29%5D%5B1295%5D%E5%B0%8F%E4%B8%B8%E5%AD%90%E5%AD%B8%E7%BF%92%E6%BC%A2%E5%AD%97%26%E5%AE%8F%E5%BF%97%E6%98%9F%E6%9C%9F%E5%A4%A9%E6%9C%A8%E5%8C%A0%5B2021.07.04%5D%5BBIG5%5D%5B720P%5D%5BMP4%5D&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
Anime - Non-English-translated,[丸子家族][樱桃小丸子第二期(Chibi Maruko-chan II)][1295]小丸子学习汉字&宏志星期天木匠[2021.07.04][GB][720P][MP4],shiroshiro,139.9 MiB,2021-07-05 07:38,3,magnet:?xt=urn:btih:b26ffac4ab698ba25d96ac033d16d5f3feb0d3b5&dn=%5B%E4%B8%B8%E5%AD%90%E5%AE%B6%E6%97%8F%5D%5B%E6%A8%B1%E6%A1%83%E5%B0%8F%E4%B8%B8%E5%AD%90%E7%AC%AC%E4%BA%8C%E6%9C%9F%28Chibi%20Maruko-chan%20II%29%5D%5B1295%5D%E5%B0%8F%E4%B8%B8%E5%AD%90%E5%AD%A6%E4%B9%A0%E6%B1%89%E5%AD%97%26%E5%AE%8F%E5%BF%97%E6%98%9F%E6%9C%9F%E5%A4%A9%E6%9C%A8%E5%8C%A0%5B2021.07.04%5D%5BGB%5D%5B720P%5D%5BMP4%5D&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
Live Action - Raw,ライオンのおやつ（２） - [1920x1080p.hevc.mkv][字],silver-khaie,1.2 GiB,2021-07-05 07:11,16,magnet:?xt=urn:btih:8f2c0dbdabae15ef9c07b36224f4187f3127e927&dn=%E3%83%A9%E3%82%A4%E3%82%AA%E3%83%B3%E3%81%AE%E3%81%8A%E3%82%84%E3%81%A4%EF%BC%88%EF%BC%92%EF%BC%89%20-%20%5B1920x1080p.hevc.mkv%5D%5B%E5%AD%97%5D&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
Anime - Non-English-translated,[星空字幕組][RE-MAIN][01][繁日雙語][1080P][WEBrip][MP4],XKsub,334.4 MiB,2021-07-05 07:02,27,magnet:?xt=urn:btih:4d8d2afe4fe285e150ce07dd8290a0f05613d14f&dn=%5B%E6%98%9F%E7%A9%BA%E5%AD%97%E5%B9%95%E7%B5%84%5D%5BRE-MAIN%5D%5B01%5D%5B%E7%B9%81%E6%97%A5%E9%9B%99%E8%AA%9E%5D%5B1080P%5D%5BWEBrip%5D%5BMP4%5D&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
Anime - Non-English-translated,[星空字幕组][RE-MAIN][01][简日双语][1080P][WEBrip][MP4],XKsub,333.9 MiB,2021-07-05 06:50,18,magnet:?xt=urn:btih:951a68b2d287a80e22dd790bd5b581eb0af89421&dn=%5B%E6%98%9F%E7%A9%BA%E5%AD%97%E5%B9%95%E7%BB%84%5D%5BRE-MAIN%5D%5B01%5D%5B%E7%AE%80%E6%97%A5%E5%8F%8C%E8%AF%AD%5D%5B1080P%5D%5BWEBrip%5D%5BMP4%5D&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
